ABSTIMMUNG_NAME;ABGEORDNETE_GES;DICT_KEYS
verlaengerung-des-bundeswehreinsatzes-in-suedsudan-friedensmission-unmiss;709;709
fortsetzung-des-bundeswehreinsatzes-im-rahmen-der-nato-operation-sea-guardian-im-0;709;709
internetportal-indymedia-verbieten;709;709
erneuerbare-energien-gesetz-eeg;709;709
arbeitsschutzkontrollgesetz;709;709
bundeshaushalt-2021;709;707
europaeische-bank-fuer-nachhaltige-entwicklung-und-internationalen;709;709
uebereinkommen-ueber-ein-europaeisches-patentgericht;709;709
aenderung-des-infektionsschutzgesetzes;708;708
weiterfuehrung-des-bundeswehreinsatzes-im-irak;708;701
aenderung-der-abgabenordnung;709;709
aenderung-des-bundeswahlgesetzes;709;709
gefluechtete-aus-moria-in-deutschland-aufnehmen;709;709
grundgesetzaenderung-zur-staerkeren-entlastung-der-kommunen-in-der-covid;709;709
aenderungsantrag-zum-kohleausstieggesetz-keine-neue-inbetriebnahme-ohne;709;709
wahlrechtsreform-verkleinerung-des-bundestages;709;707
nachtragshaushalt-2020-corona-konjunktur-und-krisenbewaeltigungspaket;709;709
umsetzung-der-eu-richtlinie-mehr-rechte-fuer-arbeitnehmerinnen-aus-dem-eu;709;709
verlaengerung-des-bundeswehreinsatzes-vor-der-libanesischen-kueste-unifil;709;553
corona-massnahmen-zum-schutz-der-bevoelkerung;709;709
regelsatz-der-grundsicherung-erhoehen;709;707
beteiligung-am-europaeischen-corona-stabilitaetsmechanismus;709;709
beteiligung-der-bundeswehr-an-der-eu-mission-im-mittelmeer;708;708
corona-massnahmen-aussetzung-der-schuldenbremse-erster-nachtragshaushalt;709;709
fortsetzung-des-bundeswehreinsatzes-im-rahmen-der-nato-operation-sea-guardian-im;709;709
fortsetzung-des-bundeswehreinsatzes-afghanistan;709;709
aufnahme-besonders-schutzbeduerftiger-gefluechteter-aus-den-griechischen;709;700
einfuehrung-einer-stiftung-fuer-engagment-und-ehrenamt;708;708
eu-freisetzungsrichtlinie-von-genetisch-veraenderten-organismen-staerken;709;709
organspenden-reform-widerspruchsloesung;709;707
organspenden-reform-zustimmungsloesung;709;709
umsetzung-des-klimaschutzprogramms-2030;709;709
einsetzung-einer-kommission-zur-reform-der-foerderalen;709;709
bundeshaushalt-2020;708;708
haushalt-fuer-die-bundeskanzlerin-und-das-bundeskanzleramt;708;708
erhoehung-der-luftverkehrssteuer;708;708
erhoehung-der-freigrenze-beim-solidaritaetszuschlag;709;709
gewerbesteuer-abschaffen-und-koerperschaftssteuer-senken;709;709
masernimpfpflicht-gemeinschaftseinrichtungen;709;469
hoehere-foerderung-biologischer-und-umweltgerechter-landwirtschaft;709;693
aenderungsantrag-der-fdp-zur-erhoehung-der-gwg-grenze;709;709
verlaengerung-des-anti-einsatzes-der-bundeswehr-im-irak-und-syrien;708;708
europaeisch-einheitliche-rahmenbedingungen-fuer-die-landwirtschaft;708;700
mehr-laenderkompetenz-bezueglich-der-grundsteuer;708;708
tempolimit-auf-deutschen-autobahnen;708;708
aufnahme-von-fluechtlingen-von-den-aegaeischen-inseln;708;708
intensivierung-der-massnahmen-zur-aufforstung-und-zur-nachhaltigen;709;709
staerkung-der-deutsch-franzoesischen-zusammenarbeit;709;709
aufnahme-von-eu-beitrittsverhandlungen-mit-nordmazedonien;709;709
aufnahme-von-eu-beitrittsverhandlungen-mit-albanien;709;707
verlaengerung-des-bundeswehreinsatzes-im-kosovo-2019-2020;709;707
verlaengerung-des-bundeswehreinsatzes-im-libanon-2019-2020;473;469
betrieb-von-kohlekraftwerken-zur-stromerzeugung-beenden;709;709
klimanotstand-ausrufen-antrag-der-linksfraktion;709;709
asyl-und-aufenthaltsrecht-durchsetzung-der-ausreisepflicht;709;709
gezielte-einwanderung-den-deutschen-arbeitsmarkt;709;709
erreichung-der-klimaziele;709;709
bekaempfung-illegaler-beschaeftigung-verstaerken;709;709
bds-bewegung-entgegentreten-antisemitismus-bekaempfen;709;709
erhoehung-des-bafoegs;709;709
konzerntransparenz-gegen-steuerflucht-einfuehren;709;709
zugang-zum-sozialschutz-fuer-arbeitnehmer-und-selbststaendige-verbessern;709;709
friedensprozess-afghanistan-unterstuetzen-antrag-der-fdp-fraktion;709;709
fortsetzung-des-bundeswehreinsatzes-darfur;709;693
verlaengerung-des-bundeswehreinsatzes-suedsudan-unmiss;709;707
verstaerkte-deutsch-franzoesische-parlamentarische-zusammenarbeit;709;709
wahlrecht-fuer-benachteiligte-personengruppen-durchsetzen-gesetzentwurf;709;709
wahlrecht-fuer-benachteiligte-personengruppen-durchsetzen-gesetzentwurf-0;709;709
einfuehrung-eines-inklusiveren-wahlrechts;709;709
fahrverbote-fuer-dieselfahrzeuge-einschraenken-antrag-der-afd-fraktion;709;709
verstaerkte-unterstuetzung-israels-bei-abstimmungen-im-rahmen-der-un;709;709
fahrverbote-fuer-dieselfahrzeuge-einschraenken;709;709
aufhebung-von-ss-219a-stgb;709;709
verlaengerung-des-bundeswehreinsatzes-im-mittelmeer-sea-guardian;709;709
aufhebung-des-werbeverbots-fuer-schwangerschaftsabbrueche;709;709
digitalpakt-aenderung-des-grundgesetzes;709;709
woelfe-unkontrollierte-population-stoppen;709;700
kostenloser-zugang-zu-verhuetungsmitteln-fuer-menschen-mit-geringem;709;700
einstufung-als-sichere-herkunftsstaaten-maghreb-staaten-und-georgien;709;709
abschaffung-des-solidaritaetszuschlags;709;707
un-migrationspakt-antrag-der-afd-fraktion;709;709
globaler-pakt-fuer-migration;709;709
mietrechtsanpassungsgesetz;709;709
aenderungsantrag-zum-gesetzentwurf-zur-steuerlichen-foerderung-des;709;709
aenderung-des-grundgesetzes-bildung-bau-und-verkehr;709;709
verlaengerung-der-ferkelkastration-ohne-betaeubung;709;707
bundeshaushalt-2019-einzelplan-60;709;709
bundeshaushalt-2019;709;709
bundeshaushalt-2019-etat-des-bundeskanzleramtes;709;709
leistungsverbesserungen-und-stabilisierung-der-gesetzlichen;709;709
familienentlastungsgesetz-aenderungsantrag-der-fdp-fraktion;709;709
familienentlastungsgesetz-aenderungsantrag-der-afd-fraktion;709;709
zwei-prozent-ruestungsziel-der-nato-antrag-der-fraktion-die-linke;651;708
vermeidung-von-umsatzsteuerausfaellen-aenderungsantrag-der-fdp;709;709
staerkung-des-menschenrechts-auf-religionsfreiheit;709;709
ueberpruefung-des-jahresmittelgrenzwerts-fuer-stickoxid;709;709
aenderungsantrag-zur-brueckenteilzeit;709;709
anpassung-des-kindergeldes-fuer-im-ausland-lebende-kinder;709;709
erweiterung-der-sicheren-herkunftslaender;709;709
verlaengerung-des-anti-einsatzes-der-bundeswehr-im-irak;709;709
bundeshaushalt-2018;709;707
haushalt-2018-geschaeftsbereich-der-bundeskanzlerin-und-des;709;709
haushalt-2018-geschaeftsbereich-des-verteidigungsministeriums;709;709
abschliessende-finanzhilfen-fuer-griechenland;709;709
abschaffung-der-sanktionen-bei-hartz-iv-und-sozialhilfe;709;709
weidetierpraemie-einfuehren;709;709
aenderung-des-parteiengesetzes-partg;709;709
neuregelung-des-familiennachzugs-zu-subsidiaer-schutzberechtigten;709;709
verlaengerung-des-bundeswehreinsatzes-im-libanon-unifil-2018;709;709
verlaengerung-des-bundeswehreinsatzes-im-kosovo-kfor;709;707
verlaengerung-des-bundeswehreinsatzes-im-mittelmeer-eunavfor-med-2018;709;709
verschaerfung-der-mietpreisbremse;709;709
einspruch-gegen-den-alice-weidel-erteilten-ordnungsruf;709;709
ausschluss-der-npd-von-der-parteienfinanzierung;709;709
anti-einsatz-der-bundeswehr-im-irak;709;709
ausweitung-des-ausbildungseinsatzes-der-bundeswehr-afghanistan;709;709
verlaengerung-des-bundeswehreinsatzes-im-mittelmeer-sea-guardian-2018;709;709
verstaerkung-der-grenzkontrollen;709;709
antrag-auf-inhaltliche-distanzierung-des-bundestages-von-deniz-yuecel;709;693
gesetzesentwurf-der-afd-zum-familiennachzug;709;707
gesetzesentwurf-der-union-zum-familiennachzug;709;709
gesetzesentwurf-der-linksfraktion-zum-familiennachzug;709;709
verlaengerung-des-bundeswehreinsatzes-im-suedsudan-unmiss-2017;709;709
verlaengerung-des-darfur-einsatzes-unamid-2017;709;709
diaetenanpassung-der-abgeordneten;709;709
verlaengerung-des-bundeswehreinsatzes-afghanistan-2017;709;707
verlaengerung-der-bundeswehrbeteiligung-nato-operation-sea-guardian-2017;709;709
verlaengerung-ausbildungsfortsetzung-irak;709;709
verlaengerung-des-bundeswehreinsatzes-in-mali-minusma-2020-2021;709;707
verlaengerung-des-bundeswehreinsatzes-in-mali-eutm-mali-2020-2021;709;709
verlaengerung-des-bundeswehreinsatzes-in-somalia-atalanta-2020-2021;709;709
verlaengerung-des-bundeswehreinsatzes-mali-eutm-mali-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-somalia-atalanta-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-mali-minusma-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-mali-minusma-2018-2019;709;709
verlaengerung-des-bundeswehreinsatzes-somalia-atalanta-2018-2019;709;709
verlaengerung-des-bundeswehreinsatzes-mali-eutm-2018-2019;709;709
verlaengerung-des-bundeswehreinsatzes-im-suedsudan-unmiss-2018-19;709;709
verlaengerung-des-bundeswehreinsatzes-darfur-unamid-2018-19;709;709
verlaengerung-des-bundeswehreinsatzes-mali-minusma-2017-2018;709;709
#########################################################
bundeshaushalt-2021;709;709
weiterfuehrung-des-bundeswehreinsatzes-im-irak;708;708
wahlrechtsreform-verkleinerung-des-bundestages;709;709
#########################################################
bundeshaushalt-2021;709;709
weiterfuehrung-des-bundeswehreinsatzes-im-irak;708;708
wahlrechtsreform-verkleinerung-des-bundestages;709;709
verlaengerung-des-bundeswehreinsatzes-vor-der-libanesischen-kueste-unifil;709;709
regelsatz-der-grundsicherung-erhoehen;709;709
aufnahme-besonders-schutzbeduerftiger-gefluechteter-aus-den-griechischen;709;709
organspenden-reform-widerspruchsloesung;709;709
masernimpfpflicht-gemeinschaftseinrichtungen;709;709
hoehere-foerderung-biologischer-und-umweltgerechter-landwirtschaft;709;709
europaeisch-einheitliche-rahmenbedingungen-fuer-die-landwirtschaft;708;708
aufnahme-von-eu-beitrittsverhandlungen-mit-albanien;709;707
verlaengerung-des-bundeswehreinsatzes-im-kosovo-2019-2020;709;709
verlaengerung-des-bundeswehreinsatzes-im-libanon-2019-2020;473;473
fortsetzung-des-bundeswehreinsatzes-darfur;709;709
verlaengerung-des-bundeswehreinsatzes-suedsudan-unmiss;709;709
woelfe-unkontrollierte-population-stoppen;709;709
kostenloser-zugang-zu-verhuetungsmitteln-fuer-menschen-mit-geringem;709;709
abschaffung-des-solidaritaetszuschlags;709;709
verlaengerung-der-ferkelkastration-ohne-betaeubung;709;709
zwei-prozent-ruestungsziel-der-nato-antrag-der-fraktion-die-linke;651;651
bundeshaushalt-2018;709;709
verlaengerung-des-bundeswehreinsatzes-im-kosovo-kfor;709;709
antrag-auf-inhaltliche-distanzierung-des-bundestages-von-deniz-yuecel;709;709
gesetzesentwurf-der-afd-zum-familiennachzug;709;709
verlaengerung-des-bundeswehreinsatzes-afghanistan-2017;709;709
aufnahme-von-eu-beitrittsverhandlungen-mit-albanien;709;709
